Aux Position (J=X5),Sys Position (J=X5),Aux Velocity (J=X5),Sys Velocity (J=X5),Aux Position (J=X0),Sys Position (J=X0),Aux Velocity (J=X0),Sys Velocity (J=X0),Target Position (J=X5),Target Position (J=X0),Change Position (J=X5),Change Position (J=X0),Original Change Position (J=X5),Original Change Position (J=X0),Pos Func Position (J=X5),Pos Func Position (J=X0)
253.0,132.0,376.0,268.0,-120.0,-241.0,376.0,268.0,-373.0,0.0,121.0,121.0,121.0,121.0,0.003745,0.003745
254.0,133.0,373.0,269.0,-119.0,-240.0,373.0,269.0,-373.0,0.0,120.0,120.0,120.0,120.0,0.003731,0.003731
255.0,134.0,370.0,270.0,-118.0,-239.0,370.0,270.0,-373.0,0.0,119.0,119.0,119.0,119.0,0.003717,0.003717
256.0,135.0,367.0,271.0,-117.0,-238.0,367.0,271.0,-373.0,0.0,118.0,118.0,118.0,118.0,0.003704,0.003704
257.0,136.0,364.0,272.0,-116.0,-237.0,364.0,272.0,-373.0,0.0,117.0,117.0,117.0,117.0,0.00369,0.00369
258.0,137.0,361.0,273.0,-115.0,-236.0,361.0,273.0,-373.0,0.0,116.0,116.0,116.0,116.0,0.003676,0.003676
259.0,138.0,358.0,274.0,-114.0,-235.0,358.0,274.0,-373.0,0.0,115.0,115.0,115.0,115.0,0.003663,0.003663
260.0,139.0,355.0,275.0,-113.0,-234.0,355.0,275.0,-373.0,0.0,114.0,114.0,114.0,114.0,0.00365,0.00365
261.0,140.0,352.0,276.0,-112.0,-233.0,352.0,276.0,-373.0,0.0,113.0,113.0,113.0,113.0,0.003636,0.003636
262.0,141.0,349.0,276.0,-111.0,-232.0,349.0,276.0,-373.0,0.0,112.0,112.0,112.0,112.0,0.003623,0.003623
263.0,142.0,346.0,276.0,-110.0,-231.0,346.0,276.0,-373.0,0.0,111.0,111.0,111.0,111.0,0.003623,0.003623
264.0,143.0,343.0,276.0,-109.0,-230.0,343.0,276.0,-373.0,0.0,110.0,110.0,110.0,110.0,0.003623,0.003623
265.0,144.0,340.0,276.0,-108.0,-229.0,340.0,276.0,-373.0,0.0,109.0,109.0,109.0,109.0,0.003623,0.003623
266.0,145.0,337.0,276.0,-107.0,-228.0,337.0,276.0,-373.0,0.0,108.0,108.0,108.0,108.0,0.003623,0.003623
267.0,146.0,334.0,276.0,-106.0,-227.0,334.0,276.0,-373.0,0.0,107.0,107.0,107.0,107.0,0.003623,0.003623
268.0,147.0,331.0,276.0,-105.0,-226.0,331.0,276.0,-373.0,0.0,106.0,106.0,106.0,106.0,0.003623,0.003623
269.0,148.0,328.0,276.0,-104.0,-225.0,328.0,276.0,-373.0,0.0,105.0,105.0,105.0,105.0,0.003623,0.003623
270.0,149.0,325.0,276.0,-103.0,-224.0,325.0,276.0,-373.0,0.0,104.0,104.0,104.0,104.0,0.003623,0.003623
271.0,150.0,322.0,276.0,-102.0,-223.0,322.0,276.0,-373.0,0.0,103.0,103.0,103.0,103.0,0.003623,0.003623
272.0,151.0,319.0,276.0,-101.0,-222.0,319.0,276.0,-373.0,0.0,102.0,102.0,102.0,102.0,0.003623,0.003623
273.0,152.0,316.0,276.0,-100.0,-221.0,316.0,276.0,-373.0,0.0,101.0,101.0,101.0,101.0,0.003623,0.003623
274.0,153.0,313.0,276.0,-99.0,-220.0,313.0,276.0,-373.0,0.0,100.0,100.0,100.0,100.0,0.003623,0.003623
275.0,154.0,310.0,276.0,-98.0,-219.0,310.0,276.0,-373.0,0.0,99.0,99.0,99.0,99.0,0.003623,0.003623
276.0,155.0,307.0,276.0,-97.0,-218.0,307.0,276.0,-373.0,0.0,98.0,98.0,98.0,98.0,0.003623,0.003623
277.0,156.0,304.0,276.0,-96.0,-217.0,304.0,276.0,-373.0,0.0,97.0,97.0,97.0,97.0,0.003623,0.003623
278.0,157.0,301.0,276.0,-95.0,-216.0,301.0,276.0,-373.0,0.0,96.0,96.0,96.0,96.0,0.003623,0.003623
279.0,158.0,298.0,276.0,-94.0,-215.0,298.0,276.0,-373.0,0.0,95.0,95.0,95.0,95.0,0.003623,0.003623
280.0,159.0,295.0,276.0,-93.0,-214.0,295.0,276.0,-373.0,0.0,94.0,94.0,94.0,94.0,0.003623,0.003623
281.0,160.0,292.0,276.0,-92.0,-213.0,292.0,276.0,-373.0,0.0,93.0,93.0,93.0,93.0,0.003623,0.003623
282.0,161.0,289.0,276.0,-91.0,-212.0,289.0,276.0,-373.0,0.0,92.0,92.0,92.0,92.0,0.003623,0.003623
283.0,162.0,286.0,276.0,-90.0,-211.0,286.0,276.0,-373.0,0.0,91.0,91.0,91.0,91.0,0.003623,0.003623
284.0,163.0,283.0,276.0,-89.0,-210.0,283.0,276.0,-373.0,0.0,90.0,90.0,90.0,90.0,0.003623,0.003623
285.0,164.0,280.0,276.0,-88.0,-209.0,280.0,276.0,-373.0,0.0,89.0,89.0,89.0,89.0,0.003623,0.003623
286.0,165.0,277.0,276.0,-87.0,-208.0,277.0,276.0,-373.0,0.0,88.0,88.0,88.0,88.0,0.003623,0.003623
286.0,166.0,274.0,276.0,-87.0,-207.0,274.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,167.0,271.0,276.0,-87.0,-206.0,271.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,168.0,269.0,276.0,-87.0,-205.0,269.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,169.0,267.0,276.0,-87.0,-204.0,267.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,170.0,265.0,276.0,-87.0,-203.0,265.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,171.0,263.0,276.0,-87.0,-202.0,263.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,172.0,261.0,276.0,-87.0,-201.0,261.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,173.0,259.0,276.0,-87.0,-200.0,259.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,174.0,257.0,276.0,-87.0,-199.0,257.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,175.0,255.0,276.0,-87.0,-198.0,255.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,176.0,253.0,276.0,-87.0,-197.0,253.0,276.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003623,0.003623
286.0,177.0,251.0,275.0,-87.0,-196.0,251.0,275.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003636,0.003623
286.0,178.0,249.0,274.0,-87.0,-195.0,249.0,274.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.00365,0.003636
286.0,179.0,247.0,273.0,-87.0,-194.0,247.0,273.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003663,0.00365
286.0,180.0,245.0,272.0,-87.0,-193.0,245.0,272.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003676,0.003663
286.0,181.0,243.0,271.0,-87.0,-192.0,243.0,271.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.00369,0.003676
286.0,182.0,242.0,270.0,-87.0,-191.0,242.0,270.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003704,0.00369
286.0,183.0,241.0,269.0,-87.0,-190.0,241.0,269.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003717,0.003704
286.0,184.0,240.0,268.0,-87.0,-189.0,240.0,268.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003731,0.003717
286.0,185.0,239.0,267.0,-87.0,-188.0,239.0,267.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003745,0.003731
286.0,186.0,238.0,266.0,-87.0,-187.0,238.0,266.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003759,0.003745
286.0,187.0,237.0,265.0,-87.0,-186.0,237.0,265.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003774,0.003759
286.0,188.0,236.0,264.0,-87.0,-185.0,236.0,264.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003788,0.003774
286.0,189.0,235.0,263.0,-87.0,-184.0,235.0,263.0,-373.0,0.0,87.0,87.0,87.0,87.0,0.003802,0.003788
